,"Document Description List
Updated 04/27/2022 - See tab ""list of changes""",,,,,,,,,,
Application Part,Drawings-only black and white line drawings                                                                                     ,One or more drawings where necessary for the understanding of the subject matter sought to be patented.,DRW         ,"371
371
AE_UTILITY
AE_DESIGN
DESIGN
DESIGN
PROVSNL
PROVSNL
REEXAM
REEXAM
SUPP EXAM (REEXAM ORDERED)
REISSUE_DESIGN
REISSUE_UTILITY
UTILITY
UTILITY
PGPUB","NEW
FOLLOWON
NEW
NEW
NEW
FOLLOWON
NEW
FOLLOWON
NEW
FOLLOWON
FOLLOWON
NEW
NEW
NEW
FOLLOWON
FOLLOWON",,,,,,
Application Part,Drawings-other than black and white line drawings                                                                               ,One or more drawings where necessary for the understanding of the subject matter sought to be patented.,DRW.NONBW   ,"371
371
AE_DESIGN
DESIGN
DESIGN
REEXAM
REEXAM
REISSUE_DESIGN
REISSUE_UTILITY
UTILITY
UTILITY","NEW
FOLLOWON
NEW
NEW
FOLLOWON
NEW
FOLLOWON
NEW
NEW
NEW
FOLLOWON",,,,,,
Application Part,Translation of Foreign Priority Documents                                                                                       ,"An application may be entitled to the benefit of the filing date of a prior application filed in a foreign country, to overcome an intervening reference or for similar purposes. As part of claiming the benefit of foreign priority, applicant is required to file a certified copy of the original foreign application, specification, and drawings upon which it is based. If the priority papers are not in the English language, a translation is required that may be filed with the priority papers or at a later time.",FR TRANS    ,"371
371
AE_UTILITY
AE_DESIGN
DESIGN
DESIGN
REEXAM
REEXAM
SUPP EXAM (REEXAM ORDERED)
REISSUE_DESIGN
REISSUE_UTILITY
UTILITY
UTILITY","NEW
FOLLOWON
NEW
NEW
NEW
FOLLOWON
NEW
FOLLOWON
FOLLOWON
NEW
NEW
NEW
FOLLOWON",,,,,,
Application Part,Miscellaneous Incoming Letter                                                                                                   ,"A miscellaneous incoming letter from applicant shall be submitted any time during prosecution that is not directed to a requirement, notice or Office action sent by the USPTO.",LET.        ,PG PUB,FOLLOWON,,,,,,
Application Part,Oath or Declaration filed                                                                                                       ,"Each inventor must make an oath or declaration that he/she believes himself/herself to be the original and first inventor of the subject matter of the application, and he/she must make various other statements under 37 CFR § 1.63, As set forth in 37 CFR § 1.64, the oath or declaration must be signed by all of the actual inventors except as provided for in 37 CFR §§ 1.42, 1.43, 1.47, or 1.67.",OATH        ,"371
371
AE_UTILITY
AE_DESIGN
DESIGN
DESIGN
PROVSNL
PROVSNL
SUPP EXAM (REEXAM ORDERED)
REISSUE_DESIGN
REISSUE_UTILITY
UTILITY
UTILITY
PGPUB","NEW
FOLLOWON
NEW
NEW
NEW
FOLLOWON
NEW
FOLLOWON
FOLLOWON
NEW
NEW
NEW
FOLLOWON
FOLLOWON",,,,,,
Application Part,Power to Make Copies and/or Inspect                                                                                             ,"Written authority signed by an applicant, an attorney or agent of record, an authorized official of an assignee or a registered attorney or agent named in the papers accompanying the application papers can be submitted to give access to an application to any person. This written authority gives the named person or persons a power to inspect and make copies of the application. An unrestricted power to inspect given by an applicant is recognized as in effect until rescinded.",PC/I        ,PROVSNL,FOLLOWON,,,,,,
Application Part,Sequence Listing (Text File)                                                                                                    ,"In a patent application, a sequence listing filed as a .txt file is either the ""Sequence Listing"" under 37 CFR 1.821(c) or the ""computer readable form (CRF)"" under 37 CFR 1.821(e).",SEQ.TXT     ,"371
371
AE_UTILITY
AE_DESIGN
DESIGN
DESIGN
PCT
PCT
PROVSNL
PROVSNL
SUPP EXAM (REEXAM ORDERED)
REISSUE_DESIGN
REISSUE_UTILITY
UTILITY
UTILITY
PGPUB","NEW
FOLLOWON
NEW
NEW
NEW
FOLLOWON
NEW
FOLLOWON
NEW
FOLLOWON
FOLLOWON
NEW
NEW
NEW
FOLLOWON
FOLLOWON",,,,,,
Application Part,Sequence Listing                                                                                                                ,"Patent applications which contain disclosures of nucleotide and /or amino acid sequences must contain, as a separate part of the disclosure, a paper or electronic copy disclosing the nucleotide and/or amino acid sequences and associated information using the symbols and format established in 37 CFR 1.822 and 1.823.",SEQLIST     ,"371
371
AE_UTILITY
PROVSNL
PROVSNL
REEXAM
REEXAM
SUPP EXAM (REEXAM ORDERED)
REISSUE_UTILITY
UTILITY
UTILITY
PGPUB","NEW
FOLLOWON
NEW
NEW
FOLLOWON
NEW
FOLLOWON
FOLLOWON
NEW
NEW
FOLLOWON
FOLLOWON",,,,,,
Application Part,Specification                                                                                                                   ,The written portion of the application is submitted by the applicant describing the invention.,SPEC        ,"371
371
AE_UTILITY
AE_DESIGN
DESIGN
DESIGN
PROVSNL
PROVSNL
REEXAM
REEXAM
SUPP EXAM (REEXAM ORDERED)
REISSUE_DESIGN
REISSUE_UTILITY
UTILITY
UTILITY
PGPUB","NEW
FOLLOWON
NEW
NEW
NEW
FOLLOWON
NEW
FOLLOWON
NEW
FOLLOWON
NEW
NEW
NEW
FOLLOWON
FOLLOWON
FOLLOWON",,,,,,
Application Part,Specification - Not in English                                                                                                  ,The written portion of the application is submitted by the applicant describing the invention that is not submitted in English. Note translation requirements under 37 CFR § 1.52(d).,SPECNO      ,"371
371
AE_UTILITY
AE_DESIGN
DESIGN
DESIGN
PROVSNL
PROVSNL
REEXAM
REEXAM
REISSUE_DESIGN
REISSUE_UTILITY
UTILITY
UTILITY","NEW
FOLLOWON
NEW
NEW
NEW
FOLLOWON
NEW
FOLLOWON
NEW
FOLLOWON
NEW
NEW
NEW
FOLLOWON",,,,,,
